img1_path,img2_path,label
images\Alberto_Fujimori\Alberto_Fujimori_0001.jpg,images\Alberto_Fujimori\Alberto_Fujimori_0002.jpg,1
images\Alberto_Ruiz_Gallardon\Alberto_Ruiz_Gallardon_0001.jpg,images\Alberto_Ruiz_Gallardon\Alberto_Ruiz_Gallardon_0002.jpg,1
images\Albrecht_Mentz\Albrecht_Mentz_0001.jpg,images\Albrecht_Mentz\Albrecht_Mentz_0002.jpg,1
images\Alec_Baldwin\Alec_Baldwin_0001.jpg,images\Alec_Baldwin\Alec_Baldwin_0002.jpg,1
images\Alec_Baldwin\Alec_Baldwin_0001.jpg,images\Alec_Baldwin\Alec_Baldwin_0004.jpg,1
images\Alec_Baldwin\Alec_Baldwin_0002.jpg,images\Alec_Baldwin\Alec_Baldwin_0003.jpg,1
images\Alec_Baldwin\Alec_Baldwin_0003.jpg,images\Alec_Baldwin\Alec_Baldwin_0004.jpg,1
images\Alejandro_Toledo\Alejandro_Toledo_0020.jpg,images\Alejandro_Toledo\Alejandro_Toledo_0038.jpg,1
images\Alex_Barros\Alex_Barros_0001.jpg,images\Alex_Barros\Alex_Barros_0002.jpg,1
images\Alex_Sink\Alex_Sink_0002.jpg,images\Alex_Sink\Alex_Sink_0003.jpg,1
images\Alexandra_Stevenson\Alexandra_Stevenson_0001.jpg,images\Alexandra_Stevenson\Alexandra_Stevenson_0002.jpg,1
images\Alexandra_Stevenson\Alexandra_Stevenson_0001.jpg,images\Alexandra_Stevenson\Alexandra_Stevenson_0003.jpg,1
images\Alexandra_Vodjanikova\Alexandra_Vodjanikova_0001.jpg,images\Alexandra_Vodjanikova\Alexandra_Vodjanikova_0002.jpg,1
images\Ali_Abbas\Ali_Abbas_0001.jpg,images\Ali_Abbas\Ali_Abbas_0002.jpg,1
images\Ali_Khamenei\Ali_Khamenei_0001.jpg,images\Ali_Khamenei\Ali_Khamenei_0002.jpg,1
images\Alice_Fisher\Alice_Fisher_0001.jpg,images\Alice_Fisher\Alice_Fisher_0002.jpg,1
images\Alicia_Silverstone\Alicia_Silverstone_0001.jpg,images\Alicia_Silverstone\Alicia_Silverstone_0002.jpg,1
images\Alimzhan_Tokhtakhounov\Alimzhan_Tokhtakhounov_0001.jpg,images\Alimzhan_Tokhtakhounov\Alimzhan_Tokhtakhounov_0002.jpg,1
images\Alison_Lohman\Alison_Lohman_0001.jpg,images\Alison_Lohman\Alison_Lohman_0002.jpg,1
images\Alvaro_Noboa\Alvaro_Noboa_0001.jpg,images\Alvaro_Noboa\Alvaro_Noboa_0002.jpg,1
images\Alvaro_Noboa\Alvaro_Noboa_0002.jpg,images\Alvaro_Noboa\Alvaro_Noboa_0003.jpg,1
images\Alvaro_Silva_Calderon\Alvaro_Silva_Calderon_0003.jpg,images\Alvaro_Silva_Calderon\Alvaro_Silva_Calderon_0004.jpg,1
images\Amanda_Beard\Amanda_Beard_0001.jpg,images\Amanda_Beard\Amanda_Beard_0002.jpg,1
images\Amber_Tamblyn\Amber_Tamblyn_0001.jpg,images\Amber_Tamblyn\Amber_Tamblyn_0002.jpg,1
images\Amelia_Vega\Amelia_Vega_0002.jpg,images\Amelia_Vega\Amelia_Vega_0004.jpg,1
images\Amelia_Vega\Amelia_Vega_0005.jpg,images\Amelia_Vega\Amelia_Vega_0007.jpg,1
images\Amelia_Vega\Amelia_Vega_0006.jpg,images\Amelia_Vega\Amelia_Vega_0007.jpg,1
images\Amer_al-Saadi\Amer_al-Saadi_0001.jpg,images\Amer_al-Saadi\Amer_al-Saadi_0002.jpg,1
images\Ana_Guevara\Ana_Guevara_0001.jpg,images\Ana_Guevara\Ana_Guevara_0005.jpg,1
images\Ana_Guevara\Ana_Guevara_0001.jpg,images\Ana_Guevara\Ana_Guevara_0006.jpg,1
images\Ana_Guevara\Ana_Guevara_0002.jpg,images\Ana_Guevara\Ana_Guevara_0006.jpg,1
images\Ana_Guevara\Ana_Guevara_0003.jpg,images\Ana_Guevara\Ana_Guevara_0006.jpg,1
images\Anastasia_Myskina\Anastasia_Myskina_0001.jpg,images\Anastasia_Myskina\Anastasia_Myskina_0002.jpg,1
images\Anastasia_Myskina\Anastasia_Myskina_0002.jpg,images\Anastasia_Myskina\Anastasia_Myskina_0003.jpg,1
images\Anders_Fogh_Rasmussen\Anders_Fogh_Rasmussen_0001.jpg,images\Anders_Fogh_Rasmussen\Anders_Fogh_Rasmussen_0002.jpg,1
images\Anders_Fogh_Rasmussen\Anders_Fogh_Rasmussen_0003.jpg,images\Anders_Fogh_Rasmussen\Anders_Fogh_Rasmussen_0004.jpg,1
images\Andre_Agassi\Andre_Agassi_0009.jpg,images\Andre_Agassi\Andre_Agassi_0018.jpg,1
images\Andrew_Weissmann\Andrew_Weissmann_0001.jpg,images\Andrew_Weissmann\Andrew_Weissmann_0003.jpg,1
images\Andy_Roddick\Andy_Roddick_0003.jpg,images\Andy_Roddick\Andy_Roddick_0015.jpg,1
images\Andy_Roddick\Andy_Roddick_0009.jpg,images\Andy_Roddick\Andy_Roddick_0014.jpg,1
images\Andy_Roddick\Andy_Roddick_0012.jpg,images\Andy_Roddick\Andy_Roddick_0015.jpg,1
images\Angela_Bassett\Angela_Bassett_0002.jpg,images\Angela_Bassett\Angela_Bassett_0006.jpg,1
images\Angelina_Jolie\Angelina_Jolie_0003.jpg,images\Angelina_Jolie\Angelina_Jolie_0015.jpg,1
images\Angelina_Jolie\Angelina_Jolie_0004.jpg,images\Angelina_Jolie\Angelina_Jolie_0016.jpg,1
images\Angelina_Jolie\Angelina_Jolie_0008.jpg,images\Angelina_Jolie\Angelina_Jolie_0015.jpg,1
images\Angelina_Jolie\Angelina_Jolie_0009.jpg,images\Angelina_Jolie\Angelina_Jolie_0017.jpg,1
images\Angelina_Jolie\Angelina_Jolie_0016.jpg,images\Angelina_Jolie\Angelina_Jolie_0017.jpg,1
images\Anibal_Ibarra\Anibal_Ibarra_0002.jpg,images\Anibal_Ibarra\Anibal_Ibarra_0003.jpg,1
images\Anna_Kournikova\Anna_Kournikova_0005.jpg,images\Anna_Kournikova\Anna_Kournikova_0009.jpg,1
images\Annette_Bening\Annette_Bening_0001.jpg,images\Annette_Bening\Annette_Bening_0002.jpg,1
images\Anthony_Hopkins\Anthony_Hopkins_0001.jpg,images\Anthony_Hopkins\Anthony_Hopkins_0002.jpg,1
images\Antonio_Banderas\Antonio_Banderas_0002.jpg,images\Antonio_Banderas\Antonio_Banderas_0003.jpg,1
images\Antonio_Banderas\Antonio_Banderas_0002.jpg,images\Antonio_Banderas\Antonio_Banderas_0004.jpg,1
images\Antony_Leung\Antony_Leung_0002.jpg,images\Antony_Leung\Antony_Leung_0003.jpg,1
images\Anwar_Ibrahim\Anwar_Ibrahim_0001.jpg,images\Anwar_Ibrahim\Anwar_Ibrahim_0002.jpg,1
images\Arantxa_Sanchez-Vicario\Arantxa_Sanchez-Vicario_0001.jpg,images\Arantxa_Sanchez-Vicario\Arantxa_Sanchez-Vicario_0002.jpg,1
images\Ari_Fleischer\Ari_Fleischer_0001.jpg,images\Ari_Fleischer\Ari_Fleischer_0013.jpg,1
images\Ari_Fleischer\Ari_Fleischer_0002.jpg,images\Ari_Fleischer\Ari_Fleischer_0004.jpg,1
images\Ari_Fleischer\Ari_Fleischer_0004.jpg,images\Ari_Fleischer\Ari_Fleischer_0006.jpg,1
images\Ari_Fleischer\Ari_Fleischer_0008.jpg,images\Ari_Fleischer\Ari_Fleischer_0013.jpg,1
images\Arianna_Huffington\Arianna_Huffington_0001.jpg,images\Arianna_Huffington\Arianna_Huffington_0002.jpg,1
images\Arianna_Huffington\Arianna_Huffington_0002.jpg,images\Arianna_Huffington\Arianna_Huffington_0003.jpg,1
images\Arminio_Fraga\Arminio_Fraga_0002.jpg,images\Arminio_Fraga\Arminio_Fraga_0006.jpg,1
images\Arnold_Palmer\Arnold_Palmer_0001.jpg,images\Arnold_Palmer\Arnold_Palmer_0002.jpg,1
images\Arnold_Palmer\Arnold_Palmer_0001.jpg,images\Arnold_Palmer\Arnold_Palmer_0003.jpg,1
images\Arnoldo_Aleman\Arnoldo_Aleman_0001.jpg,images\Arnoldo_Aleman\Arnoldo_Aleman_0003.jpg,1
images\Arnoldo_Aleman\Arnoldo_Aleman_0002.jpg,images\Arnoldo_Aleman\Arnoldo_Aleman_0004.jpg,1
images\Aron_Ralston\Aron_Ralston_0001.jpg,images\Aron_Ralston\Aron_Ralston_0002.jpg,1
images\Art_Hoffmann\Art_Hoffmann_0001.jpg,images\Art_Hoffmann\Art_Hoffmann_0002.jpg,1
images\Arturo_Gatti\Arturo_Gatti_0001.jpg,images\Arturo_Gatti\Arturo_Gatti_0002.jpg,1
images\Arturo_Gatti\Arturo_Gatti_0002.jpg,images\Arturo_Gatti\Arturo_Gatti_0003.jpg,1
images\Arye_Mekel\Arye_Mekel_0001.jpg,images\Arye_Mekel\Arye_Mekel_0002.jpg,1
images\Asa_Hutchinson\Asa_Hutchinson_0001.jpg,images\Asa_Hutchinson\Asa_Hutchinson_0002.jpg,1
images\Atal_Bihari_Vajpayee\Atal_Bihari_Vajpayee_0010.jpg,images\Atal_Bihari_Vajpayee\Atal_Bihari_Vajpayee_0020.jpg,1
images\Atal_Bihari_Vajpayee\Atal_Bihari_Vajpayee_0017.jpg,images\Atal_Bihari_Vajpayee\Atal_Bihari_Vajpayee_0024.jpg,1
images\Augusto_Roa_Bastos\Augusto_Roa_Bastos_0001.jpg,images\Augusto_Roa_Bastos\Augusto_Roa_Bastos_0002.jpg,1
images\Azra_Akin\Azra_Akin_0001.jpg,images\Azra_Akin\Azra_Akin_0004.jpg,1
images\Barbara_Walters\Barbara_Walters_0001.jpg,images\Barbara_Walters\Barbara_Walters_0003.jpg,1
images\Barbara_Walters\Barbara_Walters_0001.jpg,images\Barbara_Walters\Barbara_Walters_0004.jpg,1
images\Barbara_Walters\Barbara_Walters_0003.jpg,images\Barbara_Walters\Barbara_Walters_0004.jpg,1
images\Barbra_Streisand\Barbra_Streisand_0001.jpg,images\Barbra_Streisand\Barbra_Streisand_0002.jpg,1
images\Barbra_Streisand\Barbra_Streisand_0002.jpg,images\Barbra_Streisand\Barbra_Streisand_0003.jpg,1
images\Barrett_Jackman\Barrett_Jackman_0001.jpg,images\Barrett_Jackman\Barrett_Jackman_0002.jpg,1
images\Barry_Zito\Barry_Zito_0001.jpg,images\Barry_Zito\Barry_Zito_0002.jpg,1
images\Bashar_Assad\Bashar_Assad_0001.jpg,images\Bashar_Assad\Bashar_Assad_0003.jpg,1
images\Bashar_Assad\Bashar_Assad_0003.jpg,images\Bashar_Assad\Bashar_Assad_0004.jpg,1
images\Ben_Glisan\Ben_Glisan_0001.jpg,images\Ben_Glisan\Ben_Glisan_0002.jpg,1
images\Ben_Howland\Ben_Howland_0001.jpg,images\Ben_Howland\Ben_Howland_0002.jpg,1
images\Benazir_Bhutto\Benazir_Bhutto_0001.jpg,images\Benazir_Bhutto\Benazir_Bhutto_0002.jpg,1
images\Benazir_Bhutto\Benazir_Bhutto_0002.jpg,images\Benazir_Bhutto\Benazir_Bhutto_0005.jpg,1
images\Bernard_Landry\Bernard_Landry_0001.jpg,images\Bernard_Landry\Bernard_Landry_0002.jpg,1
images\Bernard_Landry\Bernard_Landry_0001.jpg,images\Bernard_Landry\Bernard_Landry_0004.jpg,1
images\Bernard_Law\Bernard_Law_0001.jpg,images\Bernard_Law\Bernard_Law_0002.jpg,1
images\Bernard_Law\Bernard_Law_0002.jpg,images\Bernard_Law\Bernard_Law_0005.jpg,1
images\Bernardo_Segura\Bernardo_Segura_0001.jpg,images\Bernardo_Segura\Bernardo_Segura_0002.jpg,1
images\Beth_Jones\Beth_Jones_0001.jpg,images\Beth_Jones\Beth_Jones_0002.jpg,1
images\Bijan_Darvish\Bijan_Darvish_0001.jpg,images\Bijan_Darvish\Bijan_Darvish_0003.jpg,1
images\Bijan_Namdar_Zangeneh\Bijan_Namdar_Zangeneh_0001.jpg,images\Bijan_Namdar_Zangeneh\Bijan_Namdar_Zangeneh_0002.jpg,1
images\Bill_Belichick\Bill_Belichick_0001.jpg,images\Bill_Belichick\Bill_Belichick_0002.jpg,1
images\Bill_Callahan\Bill_Callahan_0001.jpg,images\Bill_Callahan\Bill_Callahan_0002.jpg,1
images\Bill_Callahan\Bill_Callahan_0001.jpg,images\Bill_Callahan\Bill_Callahan_0003.jpg,1
images\Bill_Clinton\Bill_Clinton_0004.jpg,images\Bill_Clinton\Bill_Clinton_0020.jpg,1
images\Bill_Gates\Bill_Gates_0003.jpg,images\Bill_Gates\Bill_Gates_0011.jpg,1
images\Bill_Gates\Bill_Gates_0004.jpg,images\Bill_Gates\Bill_Gates_0015.jpg,1
images\Bill_Graham\Bill_Graham_0001.jpg,images\Bill_Graham\Bill_Graham_0007.jpg,1
images\Bill_Graham\Bill_Graham_0008.jpg,images\Bill_Graham\Bill_Graham_0009.jpg,1
images\Bill_Nelson\Bill_Nelson_0001.jpg,images\Bill_Nelson\Bill_Nelson_0002.jpg,1
images\Bill_Simon\Bill_Simon_0004.jpg,images\Bill_Simon\Bill_Simon_0015.jpg,1
images\Bill_Simon\Bill_Simon_0005.jpg,images\Bill_Simon\Bill_Simon_0013.jpg,1
images\Billy_Crystal\Billy_Crystal_0003.jpg,images\Billy_Crystal\Billy_Crystal_0005.jpg,1
images\Billy_Crystal\Billy_Crystal_0003.jpg,images\Billy_Crystal\Billy_Crystal_0006.jpg,1
images\Billy_Crystal\Billy_Crystal_0005.jpg,images\Billy_Crystal\Billy_Crystal_0006.jpg,1
images\Billy_Graham\Billy_Graham_0001.jpg,images\Billy_Graham\Billy_Graham_0002.jpg,1
images\Binyamin_Ben-Eliezer\Binyamin_Ben-Eliezer_0002.jpg,images\Binyamin_Ben-Eliezer\Binyamin_Ben-Eliezer_0005.jpg,1
images\Binyamin_Ben-Eliezer\Binyamin_Ben-Eliezer_0003.jpg,images\Binyamin_Ben-Eliezer\Binyamin_Ben-Eliezer_0007.jpg,1
images\Bo_Ryan\Bo_Ryan_0001.jpg,images\Bo_Ryan\Bo_Ryan_0002.jpg,1
images\Bob_Beauprez\Bob_Beauprez_0001.jpg,images\Bob_Beauprez\Bob_Beauprez_0002.jpg,1
images\Bob_Geldof\Bob_Geldof_0001.jpg,images\Bob_Geldof\Bob_Geldof_0002.jpg,1
images\Bob_Graham\Bob_Graham_0001.jpg,images\Bob_Graham\Bob_Graham_0005.jpg,1
images\Bob_Graham\Bob_Graham_0001.jpg,images\Bob_Graham\Bob_Graham_0006.jpg,1
images\Bob_Graham\Bob_Graham_0002.jpg,images\Bob_Graham\Bob_Graham_0004.jpg,1
images\Bob_Graham\Bob_Graham_0003.jpg,images\Bob_Graham\Bob_Graham_0005.jpg,1
images\Bob_Huggins\Bob_Huggins_0001.jpg,images\Bob_Huggins\Bob_Huggins_0002.jpg,1
images\Bob_Stoops\Bob_Stoops_0005.jpg,images\Bob_Stoops\Bob_Stoops_0007.jpg,1
images\Bobby_Robson\Bobby_Robson_0001.jpg,images\Bobby_Robson\Bobby_Robson_0002.jpg,1
images\Boris_Berezovsky\Boris_Berezovsky_0001.jpg,images\Boris_Berezovsky\Boris_Berezovsky_0002.jpg,1
images\Branko_Crvenkovski\Branko_Crvenkovski_0001.jpg,images\Branko_Crvenkovski\Branko_Crvenkovski_0003.jpg,1
images\Brendan_Hansen\Brendan_Hansen_0001.jpg,images\Brendan_Hansen\Brendan_Hansen_0002.jpg,1
images\Brooke_Shields\Brooke_Shields_0001.jpg,images\Brooke_Shields\Brooke_Shields_0002.jpg,1
images\Bruce_Van_De_Velde\Bruce_Van_De_Velde_0001.jpg,images\Bruce_Van_De_Velde\Bruce_Van_De_Velde_0002.jpg,1
images\Bruce_Weber\Bruce_Weber_0001.jpg,images\Bruce_Weber\Bruce_Weber_0002.jpg,1
images\Bud_Selig\Bud_Selig_0001.jpg,images\Bud_Selig\Bud_Selig_0002.jpg,1
images\Bud_Selig\Bud_Selig_0001.jpg,images\Bud_Selig\Bud_Selig_0004.jpg,1
images\Bulent_Ecevit\Bulent_Ecevit_0002.jpg,images\Bulent_Ecevit\Bulent_Ecevit_0004.jpg,1
images\Bulent_Ecevit\Bulent_Ecevit_0002.jpg,images\Bulent_Ecevit\Bulent_Ecevit_0005.jpg,1
images\Bulent_Ecevit\Bulent_Ecevit_0003.jpg,images\Bulent_Ecevit\Bulent_Ecevit_0006.jpg,1
images\Cameron_Diaz\Cameron_Diaz_0003.jpg,images\Cameron_Diaz\Cameron_Diaz_0004.jpg,1
images\Candie_Kung\Candie_Kung_0001.jpg,images\Candie_Kung\Candie_Kung_0002.jpg,1
images\Candie_Kung\Candie_Kung_0002.jpg,images\Candie_Kung\Candie_Kung_0003.jpg,1
images\Carla_Myers\Carla_Myers_0001.jpg,images\Carla_Myers\Carla_Myers_0002.jpg,1
images\Carlos_Menem\Carlos_Menem_0001.jpg,images\Carlos_Menem\Carlos_Menem_0003.jpg,1
images\Carlos_Menem\Carlos_Menem_0006.jpg,images\Carlos_Menem\Carlos_Menem_0012.jpg,1
images\Carlos_Ruiz\Carlos_Ruiz_0002.jpg,images\Carlos_Ruiz\Carlos_Ruiz_0003.jpg,1
images\Carlos_Vives\Carlos_Vives_0001.jpg,images\Carlos_Vives\Carlos_Vives_0002.jpg,1
images\Carlos_Vives\Carlos_Vives_0002.jpg,images\Carlos_Vives\Carlos_Vives_0003.jpg,1
images\Carly_Fiorina\Carly_Fiorina_0001.jpg,images\Carly_Fiorina\Carly_Fiorina_0002.jpg,1
images\Carly_Fiorina\Carly_Fiorina_0001.jpg,images\Carly_Fiorina\Carly_Fiorina_0003.jpg,1
images\Carmen_Electra\Carmen_Electra_0001.jpg,images\Carmen_Electra\Carmen_Electra_0006.jpg,1
images\Carol_Moseley_Braun\Carol_Moseley_Braun_0001.jpg,images\Carol_Moseley_Braun\Carol_Moseley_Braun_0002.jpg,1
images\Carolina_Kluft\Carolina_Kluft_0001.jpg,images\Carolina_Kluft\Carolina_Kluft_0003.jpg,1
images\Caroline_Kennedy\Caroline_Kennedy_0001.jpg,images\Caroline_Kennedy\Caroline_Kennedy_0003.jpg,1
images\Carson_Palmer\Carson_Palmer_0002.jpg,images\Carson_Palmer\Carson_Palmer_0004.jpg,1
images\Cate_Blanchett\Cate_Blanchett_0002.jpg,images\Cate_Blanchett\Cate_Blanchett_0003.jpg,1
images\Cate_Blanchett\Cate_Blanchett_0002.jpg,images\Cate_Blanchett\Cate_Blanchett_0004.jpg,1
images\Catherine_Deneuve\Catherine_Deneuve_0002.jpg,images\Catherine_Deneuve\Catherine_Deneuve_0005.jpg,1
images\Catherine_Zeta-Jones\Catherine_Zeta-Jones_0001.jpg,images\Catherine_Zeta-Jones\Catherine_Zeta-Jones_0004.jpg,1
images\Catherine_Zeta-Jones\Catherine_Zeta-Jones_0001.jpg,images\Catherine_Zeta-Jones\Catherine_Zeta-Jones_0008.jpg,1
images\Catherine_Zeta-Jones\Catherine_Zeta-Jones_0004.jpg,images\Catherine_Zeta-Jones\Catherine_Zeta-Jones_0009.jpg,1
images\Catherine_Zeta-Jones\Catherine_Zeta-Jones_0006.jpg,images\Catherine_Zeta-Jones\Catherine_Zeta-Jones_0009.jpg,1
images\Catherine_Zeta-Jones\Catherine_Zeta-Jones_0008.jpg,images\Catherine_Zeta-Jones\Catherine_Zeta-Jones_0010.jpg,1
images\Cecilia_Bolocco\Cecilia_Bolocco_0001.jpg,images\Cecilia_Bolocco\Cecilia_Bolocco_0003.jpg,1
images\Cesar_Gaviria\Cesar_Gaviria_0002.jpg,images\Cesar_Gaviria\Cesar_Gaviria_0005.jpg,1
images\Cesar_Gaviria\Cesar_Gaviria_0004.jpg,images\Cesar_Gaviria\Cesar_Gaviria_0008.jpg,1
images\Cesar_Gaviria\Cesar_Gaviria_0006.jpg,images\Cesar_Gaviria\Cesar_Gaviria_0007.jpg,1
images\Charles_Grassley\Charles_Grassley_0001.jpg,images\Charles_Grassley\Charles_Grassley_0002.jpg,1
images\Charles_Moose\Charles_Moose_0001.jpg,images\Charles_Moose\Charles_Moose_0003.jpg,1
images\Charles_Moose\Charles_Moose_0004.jpg,images\Charles_Moose\Charles_Moose_0010.jpg,1
images\Charles_Moose\Charles_Moose_0004.jpg,images\Charles_Moose\Charles_Moose_0011.jpg,1
images\Charles_Schumer\Charles_Schumer_0001.jpg,images\Charles_Schumer\Charles_Schumer_0002.jpg,1
images\Charlotte_Rampling\Charlotte_Rampling_0001.jpg,images\Charlotte_Rampling\Charlotte_Rampling_0002.jpg,1
images\Chen_Liang_Yu\Chen_Liang_Yu_0001.jpg,images\Chen_Liang_Yu\Chen_Liang_Yu_0002.jpg,1
images\Cherie_Blair\Cherie_Blair_0001.jpg,images\Cherie_Blair\Cherie_Blair_0002.jpg,1
images\Cherie_Blair\Cherie_Blair_0001.jpg,images\Cherie_Blair\Cherie_Blair_0003.jpg,1
images\Cherie_Blair\Cherie_Blair_0002.jpg,images\Cherie_Blair\Cherie_Blair_0004.jpg,1
images\Cherie_Blair\Cherie_Blair_0003.jpg,images\Cherie_Blair\Cherie_Blair_0004.jpg,1
images\Choi_Sung-hong\Choi_Sung-hong_0001.jpg,images\Choi_Sung-hong\Choi_Sung-hong_0004.jpg,1
images\Choi_Sung-hong\Choi_Sung-hong_0003.jpg,images\Choi_Sung-hong\Choi_Sung-hong_0004.jpg,1
images\Chris_Cooper\Chris_Cooper_0001.jpg,images\Chris_Cooper\Chris_Cooper_0002.jpg,1
images\Chris_Rock\Chris_Rock_0001.jpg,images\Chris_Rock\Chris_Rock_0002.jpg,1
images\Chris_Tucker\Chris_Tucker_0001.jpg,images\Chris_Tucker\Chris_Tucker_0002.jpg,1
images\Christian_Fittipaldi\Christian_Fittipaldi_0001.jpg,images\Christian_Fittipaldi\Christian_Fittipaldi_0002.jpg,1
images\Christine_Gregoire\Christine_Gregoire_0002.jpg,images\Christine_Gregoire\Christine_Gregoire_0003.jpg,1
images\Christopher_Patten\Christopher_Patten_0001.jpg,images\Christopher_Patten\Christopher_Patten_0002.jpg,1
images\Christopher_Walken\Christopher_Walken_0001.jpg,images\Christopher_Walken\Christopher_Walken_0004.jpg,1
images\Christopher_Walken\Christopher_Walken_0002.jpg,images\Christopher_Walken\Christopher_Walken_0004.jpg,1
images\Chuck_Amato\Chuck_Amato_0001.jpg,images\Chuck_Amato\Chuck_Amato_0002.jpg,1
images\Chuck_Yeager\Chuck_Yeager_0001.jpg,images\Chuck_Yeager\Chuck_Yeager_0002.jpg,1
images\Chung_Mong-hun\Chung_Mong-hun_0001.jpg,images\Chung_Mong-hun\Chung_Mong-hun_0002.jpg,1
images\Cindy_Margolis\Cindy_Margolis_0001.jpg,images\Cindy_Margolis\Cindy_Margolis_0002.jpg,1
images\Ciro_Gomes\Ciro_Gomes_0002.jpg,images\Ciro_Gomes\Ciro_Gomes_0003.jpg,1
images\Ciro_Gomes\Ciro_Gomes_0002.jpg,images\Ciro_Gomes\Ciro_Gomes_0004.jpg,1
images\Ciro_Gomes\Ciro_Gomes_0003.jpg,images\Ciro_Gomes\Ciro_Gomes_0004.jpg,1
images\Claire_Hentzen\Claire_Hentzen_0001.jpg,images\Claire_Hentzen\Claire_Hentzen_0002.jpg,1
images\Clara_Harris\Clara_Harris_0001.jpg,images\Clara_Harris\Clara_Harris_0004.jpg,1
images\Clara_Harris\Clara_Harris_0002.jpg,images\Clara_Harris\Clara_Harris_0004.jpg,1
images\Claudia_Pechstein\Claudia_Pechstein_0001.jpg,images\Claudia_Pechstein\Claudia_Pechstein_0002.jpg,1
images\Claudia_Schiffer\Claudia_Schiffer_0001.jpg,images\Claudia_Schiffer\Claudia_Schiffer_0003.jpg,1
images\Clint_Eastwood\Clint_Eastwood_0001.jpg,images\Clint_Eastwood\Clint_Eastwood_0005.jpg,1
images\Clint_Eastwood\Clint_Eastwood_0001.jpg,images\Clint_Eastwood\Clint_Eastwood_0006.jpg,1
images\Clint_Eastwood\Clint_Eastwood_0003.jpg,images\Clint_Eastwood\Clint_Eastwood_0006.jpg,1
images\Colin_Farrell\Colin_Farrell_0001.jpg,images\Colin_Farrell\Colin_Farrell_0007.jpg,1
images\Colin_Farrell\Colin_Farrell_0003.jpg,images\Colin_Farrell\Colin_Farrell_0007.jpg,1
images\Colin_Jackson\Colin_Jackson_0001.jpg,images\Colin_Jackson\Colin_Jackson_0002.jpg,1
images\Colin_Montgomerie\Colin_Montgomerie_0002.jpg,images\Colin_Montgomerie\Colin_Montgomerie_0004.jpg,1
images\Colin_Montgomerie\Colin_Montgomerie_0002.jpg,images\Colin_Montgomerie\Colin_Montgomerie_0005.jpg,1
